id,text,char_count,word_count,sentence_type,style,quality_score,source
00017,নীলাম্বর আবারও কালভৈরব মন্ত্র জপ করতে থাকেন।,44,7,statement,literary,92.0,12k.txt
00018,অন্য কোনো অস্ত্রের প্রমাণ মেলেনি।,33,5,statement,literary,92.0,12k.txt
00019,কিছুক্ষণ অন্তর ডাক্তার এসে দেখে যাচ্ছে।,39,6,statement,literary,92.0,12k.txt
00020,কিন্তু পা ফেললেই যন্ত্রণায় শিরা ছিঁড়ে যাচ্ছে।,47,7,statement,literary,92.0,12k.txt
00021,কিন্তু বারান্দার গ্রিলগুলোও অক্ষত।,34,4,statement,literary,92.0,12k.txt
00022,মন্ত্র পড়া শেষে উঠে দাঁড়াল নীলাম্বর ব্যানার্জি।,49,7,statement,literary,92.0,12k.txt
00023,কোনো জাদুমন্ত্রবলে আশেপাশের সব কিছুই প্রাণহীন।,46,6,statement,literary,92.0,12k.txt
00024,কিন্তু দৃষ্টি কিছুতেই স্পষ্ট হচ্ছে না।,38,6,statement,literary,92.0,12k.txt
00025,আপনার সঙ্গে একটু বসবেন প্রোমোর স্ক্রিপ্টটা নিয়ে।,49,7,statement,literary,92.0,12k.txt
00026,নীলাম্বর বিড়বড় করে মন্ত্র পড়ে চলেছেন।,40,6,statement,literary,92.0,12k.txt
00027,পড়তে থাকে মহামৃত্যুঞ্জয় মন্ত্র।,33,4,statement,literary,92.0,12k.txt
00028,এত কিছুর পরেও নীলাম্বরের মন্ত্রবিচ্যুতি ঘটছে না।,48,7,statement,literary,92.0,12k.txt
00029,আপনার সন্তুষ্টি আমাদের প্রথম অগ্রাধিকার।,40,5,statement,customer_support,92.0,bengali_sentences_6000_metadata.jsonl
00030,আত্রেয়ী সেনের অত বড়ো ছবিতে ক্রস চিহ্ন!,40,7,exclamation,literary,92.0,12k.txt
00031,স্ত্রী বলে বিশেষ ছাড় হয়তো!,28,5,exclamation,literary,92.0,12k.txt
00032,জিজ্ঞেস করলেন তন্ময়বাবুর অবস্থা কীরকম?,39,5,question,literary,91.0,12k.txt
00033,মুহূর্তে ভ্রূ দুটো কুঁচকে যায় তন্ময়ের কে?,43,7,question,literary,91.0,12k.txt
00034,তাহলে বেকার আত্রেয়ীর আশ্রয়ে পড়ে আছ কেন?,42,7,question,literary,91.0,12k.txt
00035,বারবার কেন ওর সঙ্গেই এমন হচ্ছে বলো তো?,38,8,question,literary,91.0,12k.txt
00036,কিন্তু এখন জায়গাটা অন্ধকার কেন?,32,5,question,literary,91.0,12k.txt
00037,অন্ধকারে বেতের চেয়ারে বসে কে ওই ছায়ামূর্তি?,45,7,question,literary,91.0,12k.txt
00038,কিন্তু এই ডাক্তার দুজন কোথায় গেল বলুন তো?,42,8,question,literary,91.0,12k.txt
00039,তা আমি বললাম সেটা তো এক্ষুনি বলা যাচ্ছে না?,43,9,question,literary,91.0,12k.txt
00040,এখনও পাঁচ মিনিটের গল্প শোনাচ্ছ?,31,5,question,literary,91.0,12k.txt
00041,আর তুমি কি না আমায় বিয়াল্লিশ বানিয়ে দিচ্ছ?,45,8,question,literary,91.0,12k.txt
00042,এখানে কত রাত পর্যন্ত গাড়ি পাওয়া যায় স্যার?,45,8,question,literary,91.0,12k.txt
00043,তা সত্ত্বেও এরকম একটা সম্পর্কে জড়ালেন কী করে?,46,8,question,literary,91.0,12k.txt
00044,কিন্তু চণ্ডালকে রুখবে কার সাধ্যি?,33,5,question,literary,91.0,12k.txt
00045,কিন্তু প্রশ্নটা এতটা উত্তেজিত হওয়ার মতো ছিল কি?,48,8,question,literary,91.0,12k.txt
00046,এবার নিশ্চয়ই আত্রেয়ী হাউমাউ করে কিছু বলবে?,44,7,question,literary,91.0,12k.txt
00047,আত্রেয়ীর দিকেই-বা এগোচ্ছে কেন?,31,4,question,literary,91.0,12k.txt
00048,আত্রেয়ীর অল্প বয়সের ছবি তোমার হাতে কেন?,41,7,question,literary,91.0,12k.txt
00049,আমায় জিজ্ঞেস করলেন কিন্তু তোরা বাঁচলি কী করে?,46,8,question,literary,91.0,12k.txt
00050,সব ম্যায় বোল দুঙ্গা তো তেরা পরীক্ষা ক্যাসে হোগা?,49,9,question,literary,91.0,12k.txt
00051,হ্যালো! কীভাবে আপনার দিন যাচ্ছে?,32,5,question,customer_support,91.0,bengali_sentences_6000_metadata.jsonl
00052,অনেকক্ষণ একটানা কথা বলে ক্লান্ত বন্দনা।,39,6,statement,literary,90.5,12k.txt
00053,টুম্পা কি চট্টগ্রামে যাবে?,26,4,question,conversational,89.5,generated_template
00054,হ্যালো আমি নীলাম্বর বলছি… অ্যাঁ কী?,35,6,question,literary,89.5,12k.txt
00055,প্রচার অফার সম্পর্কে জানতে চান?,31,5,question,ivr,89.5,bengali_sentences_6000_metadata.jsonl
00056,সফল প্রজেক্ট সম্পন্ন করেছো?,27,4,question,virtual_assistant,89.5,bengali_sentences_6000_metadata.jsonl
00057,সায়নের ভ্রূ দুটো ধনুকের মতো বেঁকে যাচ্ছে ক্রমশ।,48,8,statement,literary,89.0,12k.txt
00058,সূর্য স্পষ্ট বুঝতে পারল সায়ন একটু টলে গেল।,43,8,statement,literary,89.0,12k.txt
00059,ম্যাডামের পার্সোনাল স্পেসে আমি কক্ষনো ঢুকি না।,46,7,statement,literary,89.0,12k.txt
00060,তাহলে নার্সিংহোম কি তোমার সঙ্গেই সব … হ্যাঁ।,44,8,statement,literary,89.0,12k.txt
00061,আকস্মিক কান্নাকাটিতে কিছুক্ষণের নীরবতা।,39,4,statement,literary,89.0,12k.txt
00062,পঙ্কজ শর্মার ঠিকানা জানতে চায় সূর্য।,37,6,statement,literary,89.0,12k.txt
00063,হাতে পেয়েই ভৈরবী যন্ত্রে তাকে শোধন করে নিবি।,45,8,statement,literary,89.0,12k.txt
00064,ছবিতে অল্প বয়সের আত্রেয়ীর কোলে একটি ছোট্ট শিশু।,49,8,statement,literary,89.0,12k.txt
00065,আমরা এটি উন্নত করতে প্রতিশ্রুতিবদ্ধ।,36,5,statement,call_center,89.0,bengali_sentences_6000_metadata.jsonl
00066,ক্লান্ত সমুদ্র পছন্দ করি।,25,4,statement,conversational,89.0,generated_template
00067,সারাদিনের ক্লান্তির পরেও তাই আজ ঘুম নেই আত্রেয়ীর।,50,8,statement,literary,89.0,12k.txt
00068,কাজের ছলে সে-ও স্বামী-স্ত্রীর মুখরোচক ঝগড়া গিলছে।,50,7,statement,literary,89.0,12k.txt
00069,স্ত্রী-এর দায়িত্ব পালন করছে।,29,4,statement,literary,89.0,12k.txt
00070,আমাদের প্রত্যেকের শরীরের মধ্যে এই চক্রের অধিষ্ঠান।,50,7,statement,literary,89.0,12k.txt
00071,সেক্ষেত্রে দুটো লাইনে জয়েন্টের চিহ্ন থাকবে।,44,6,statement,literary,89.0,12k.txt
00072,ভারমোরে চলে যান তার স্ত্রীকে না জানিয়ে।,40,7,statement,literary,89.0,12k.txt
00073,আত্রেয়ীর বাড়িতে শান্তনুর কোনো জিনিসের চিহ্ন নেই।,50,7,statement,literary,89.0,12k.txt
00074,কিন্তু সন্দেহ করার মতো কিছুই শ্রুতিগোচর হয় না।,47,8,statement,literary,89.0,12k.txt
00075,কিন্তু সব ঘরের অবস্থা বসবাসের উপযুক্ত নয়।,42,7,statement,literary,89.0,12k.txt
00076,আত্রেয়ীর সঙ্গে এটা তার প্রথম শুটিঙে আসা।,41,7,statement,literary,89.0,12k.txt
00077,ওই বারান্দা থেকে এই ছাদ একেবারে স্পষ্ট দেখা যায়।,49,9,statement,literary,89.0,12k.txt
00078,দ্রুততার সঙ্গে প্রতিটা ঘর খুলে ভালো করে দেখা হয়।,49,9,statement,literary,89.0,12k.txt
00079,ওই আগন্তুকের জামাকাপড়ের সঙ্গে হুবহু মিলে যাচ্ছে।,49,7,statement,literary,89.0,12k.txt
00080,এখনও পর্যন্ত প্রায় দেড় লাখ বিল হয়ে গেছে।,43,8,statement,literary,89.0,12k.txt
00081,যন্ত্রণায় হাঁ হয়ে দাঁতগুলো বেরিয়ে এসেছে।,43,6,statement,literary,89.0,12k.txt
00082,এই মুহূর্তে পুরো ব্যাপারটাই তদন্তসাপেক্ষ।,41,5,statement,literary,89.0,12k.txt
00083,চোখদুটো যন্ত্রণায় ঠেলে বেরিয়ে এসেছে।,38,5,statement,literary,89.0,12k.txt
00084,বন্দনার মুখ দেখেই বোঝা যাচ্ছে অসম্ভব বিরক্ত সে।,47,8,statement,literary,89.0,12k.txt
00085,শান্ত গলায় ক্ষোভ উগরে দিল বন্দনা।,34,6,statement,literary,89.0,12k.txt
00086,বন্দনার চোয়ালদুটো ক্রমে শক্ত হয়ে উঠছে।,40,6,statement,literary,89.0,12k.txt
00087,চোয়ালটা শক্ত করে বন্দনার দিকে তাকাল আত্রেয়ী।,46,7,statement,literary,89.0,12k.txt
00088,এবার যেন আগের চেয়ে আরও একটু স্পষ্ট দেখতে পাচ্ছেন।,50,9,statement,literary,89.0,12k.txt
00089,মনে মনে ঠিক এই প্রশ্নটারই অপেক্ষায় করছিল বন্দনা।,49,8,statement,literary,89.0,12k.txt
00090,বন্দনা দেখল ম্যাডামের যেন কোনো ভ্রূক্ষেপই নেই।,46,7,statement,literary,89.0,12k.txt
00091,শান্তনু আরও একবার আগাপাস্তলা আত্রেয়ীকে মেপে নেয়।,50,7,statement,literary,89.0,12k.txt
00092,তখন আত্রেয়ী সেন আর শান্তনু নিয়োগীর তুমুল প্রেম।,49,8,statement,literary,89.0,12k.txt
00093,ওঁর সঙ্গে আর কোনো সম্পর্ক নেই ম্যাডামের।,40,7,statement,literary,89.0,12k.txt
00094,দম বন্ধ-করা আতঙ্কে বন্দনার চোখদুটো ছোটো হয়ে যায়।,50,8,statement,literary,89.0,12k.txt
00095,ঝুলন্ত আলোটায় মুহূর্তে যেন পালটে গেল বন্দনার মুখ।,50,8,statement,literary,89.0,12k.txt
00096,একটু যেন নিশ্চিন্ত হল বন্দনা।,29,5,statement,literary,89.0,12k.txt
00097,কিন্তু নীলাম্বর যে গন্ধ পান।,28,5,statement,literary,89.0,12k.txt
00098,প্রচণ্ড ভয়ে হাঁফাচ্ছে মুনাই।,29,4,statement,literary,89.0,12k.txt
00099,অস্ফুটে কোনো একটা মন্ত্র উচ্চারণ করে চলেছেন।,44,7,statement,literary,89.0,12k.txt
00100,কিন্তু নেটওয়ার্ক প্রবলেমের জন্য কথা শুনতে পারেনি।,50,7,statement,literary,89.0,12k.txt
00101,রক্তাভ চক্ষুদুটো ছিল স্থির।,27,4,statement,literary,89.0,12k.txt
00102,চোখ বুজে মন্ত্র পড়তে লাগলেন বিড়বিড় করে।,42,7,statement,literary,89.0,12k.txt
00103,সঙ্গে নিয়ে আসছে আসুরিক শক্তির প্রবল ঝড়।,41,7,statement,literary,89.0,12k.txt
00104,কিন্তু সায়নের মস্তিষ্ক তাতে সায় দিচ্ছে না।,44,7,statement,literary,89.0,12k.txt
00105,ভ্রূ কুঁচকে প্রশ্ন করলেন নীলাম্বর।,34,5,statement,literary,89.0,12k.txt
00106,অবশ যন্ত্রমানবের মতো মৃন্ময়ীও ঘরে ঢুকল।,40,6,statement,literary,89.0,12k.txt
00107,আত্রেয়ী সেনের কেবিনে এই মুহূর্তে একজন নার্স।,45,7,statement,literary,89.0,12k.txt
00108,ক্লান্তিতে চোখ বুজে আসে আত্রেয়ীর।,34,5,statement,literary,89.0,12k.txt
00109,নীলাম্বরের মুখে প্রকৃত ভক্তের মতো হাসি লেগে আছে।,48,8,statement,literary,89.0,12k.txt
00110,কিন্তু তন্ময় এসেছে প্রকৃত বন্ধু হয়ে।,38,6,statement,literary,89.0,12k.txt
00111,সূর্যের কিন্তু এই সুন্দর কথা বলার গুণটা নেই।,44,8,statement,literary,89.0,12k.txt
00112,প্যাকেটে মদের সঙ্গে রক্তের গন্ধও মিশে আছে।,42,7,statement,literary,89.0,12k.txt
00113,কিন্তু এই মুহূর্তে আত্রেয়ী সেনের কোনোটাই ছিল না।,49,8,statement,literary,89.0,12k.txt
00114,এটা একমাত্র কেবিনের ফুটেজেই প্রবলেম হচ্ছে।,42,6,statement,literary,89.0,12k.txt
00115,দূরে বিবেকানন্দ ভঙ্গিতে দাঁড়িয়ে ছিলেন নীলাম্বর।,49,6,statement,literary,89.0,12k.txt
00116,শান্তনুর এই ব্যাগ ছুঁয়ে ওর যন্ত্রণা ফিল করেছি।,47,8,statement,literary,89.0,12k.txt
00117,মাঝে মাঝে কালো হয়ে যাচ্ছে স্ক্রিন।,35,6,statement,literary,89.0,12k.txt
00118,তিনি হয়তো স্পষ্ট দেখতে পাচ্ছিলেন।,34,5,statement,literary,89.0,12k.txt
00119,সোনাইয়ের চোখদুটো যন্ত্রণায় বেরিয়ে আসছে।,42,5,statement,literary,89.0,12k.txt
00120,আত্রেয়ী তো দুর্দান্ত শট দিচ্ছিল।,33,5,statement,literary,89.0,12k.txt
00121,প্রোমোটা না হলে পঁচিশ লক্ষ টাকা পুরো নষ্ট।,42,8,statement,literary,89.0,12k.txt
00122,কিন্তু সেক্ষেত্রে তাদের সইটা আলাদা হবে।,39,6,statement,literary,89.0,12k.txt
00123,স্পষ্ট বোঝা যাচ্ছে নিশ্বাসের কষ্ট হচ্ছে।,40,6,statement,literary,89.0,12k.txt
00124,কয়েক মুহূর্ত দম বন্ধ হয়ে গিয়েছিল পঙ্কজের।,44,7,statement,literary,89.0,12k.txt
00125,তুই একটা বাচাল দুশ্চরিত্র মেয়ের ফূর্তির ফল।,44,7,statement,literary,89.0,12k.txt
00126,যন্ত্রণায় আমার মাথাটা ছিঁড়ে যেত।,34,5,statement,literary,89.0,12k.txt
00127,ওর কাছেই আছে আত্রেয়ীকে বশ করার মন্ত্র।,39,7,statement,literary,89.0,12k.txt
00128,বন্দনারা বেঁচে থাকে অজস্র প্রশ্নের শবদেহের ওপর।,47,7,statement,literary,89.0,12k.txt
00129,তুমি তো আমার সঙ্গেও শুচ্ছ আবার আত্রেয়ীর সঙ্গেও।,48,8,statement,literary,89.0,12k.txt
00130,বিরক্তমুখে জিজ্ঞেস করল বন্দনা।,30,4,statement,literary,89.0,12k.txt
00131,সপ্রশ্ন দৃষ্টি নিয়ে বন্দনার দিকে তাকায় তন্ময়।,48,7,statement,literary,89.0,12k.txt
00132,দু-চক্ষে সহ্য করতে পারত না আত্রেয়ীকে।,38,6,statement,literary,89.0,12k.txt
00133,শান্তনুর কথায় আবার ঝাঁঝ দেখাতে যাচ্ছিল আত্রেয়ী।,49,7,statement,literary,89.0,12k.txt
00134,আদিগন্ত হিমাচলী প্রকৃতির সুন্দরী রূপ উছলে পড়ছে।,48,7,statement,literary,89.0,12k.txt
00135,শান্তনু প্রায় অজ্ঞান হয়ে পড়ে যায়।,37,6,statement,literary,89.0,12k.txt
00136,রাত তিনটে হল দুই প্রহরের সন্ধিক্ষণ।,35,6,statement,literary,89.0,12k.txt
00137,ড্রাইভার নিয়ন্ত্রণ হারিয়ে এদিক-ওদিক করতে থাকে।,48,6,statement,literary,89.0,12k.txt
00138,নীলাম্বরের বুকে আশঙ্কার দুন্দুভি বেজে ওঠে।,42,6,statement,literary,89.0,12k.txt
00139,নীলাম্বর হাতের রুদ্রাক্ষের মালা চেপে ধরল।,41,6,statement,literary,89.0,12k.txt
00140,এদিকে তন্ময়ের গলার শব্দ পালটে যাচ্ছে ক্রমশ।,44,7,statement,literary,89.0,12k.txt
00141,নীলাম্বরের হঠাৎ নজর পড়ে হাতের রুদ্রাক্ষের দিকে।,48,7,statement,literary,89.0,12k.txt
00142,নীলাম্বর আবার তার গণ্ডি কাটতে ব্যস্ত হয়ে পড়েন।,48,8,statement,literary,89.0,12k.txt
00143,নীলাম্বরের গণ্ডি সম্পূর্ণ হয়।,30,4,statement,literary,89.0,12k.txt
00144,গোঙানির শব্দটা প্রতিধ্বনিত হচ্ছে।,33,4,statement,literary,89.0,12k.txt
00145,নীলাম্বরকে ফলো করে সূর্য আর সোমদত্তা এগোচ্ছিল।,46,7,statement,literary,89.0,12k.txt
00146,আঘাত পেয়ে একটু ক্লান্ত হয়েছে নীলাম্বর।,40,6,statement,literary,89.0,12k.txt
00147,সঙ্গে সঙ্গে ধাতব শব্দ তুলে দরজাটাও বন্ধ হয়ে যায়।,50,9,statement,literary,89.0,12k.txt
00148,যন্ত্রণায় কাতরে উঠল দুটো শরীর।,31,5,statement,literary,89.0,12k.txt
00149,সোমদত্তা সব শক্তি একত্রিত করে আর্তনাদ করে ওঠে।,46,8,statement,literary,89.0,12k.txt
00150,এমন কোনো তথ্য মেলেনি যা মিহিরের সঙ্গে সম্পর্কিত।,48,8,statement,literary,89.0,12k.txt
00151,আজ বৃষ্টিটাও হচ্ছে অনেকক্ষণ ধরে।,32,5,statement,literary,89.0,12k.txt
00152,আপনার সন্তুষ্টি আমাদের লক্ষ্য।,30,4,statement,call_center,89.0,bengali_sentences_6000_metadata.jsonl
00153,পরবর্তী উপলব্ধ প্রতিনিধির জন্য অপেক্ষা করুন।,44,6,statement,ivr,89.0,bengali_sentences_6000_metadata.jsonl
00154,আনন্দ ভালো কিন্তু সন্ধ্যা আরও ভালো।,35,6,statement,conversational,89.0,generated_template
00155,ক্লান্ত সন্ধ্যা পছন্দ করি।,26,4,statement,conversational,89.0,generated_template
00156,অপ্রিয় সূর্য থাকলে গল্প হবে।,29,5,statement,conversational,89.0,generated_template
00157,কম্পিউটার ভালো কিন্তু আনন্দ আরও ভালো।,37,6,statement,conversational,89.0,generated_template
00158,ক্লান্ত কম্পিউটার পছন্দ করি।,28,4,statement,conversational,89.0,generated_template
00159,সৌন্দর্যের প্রতি মানুষের আকর্ষণ স্বাভাবিক।,42,5,statement,balanced,89.0,coverage_sentences
00160,সপ্তমে স্বর চড়িয়ে সোয়ারভস্কি!,32,4,exclamation,literary,89.0,12k.txt
00161,দুটো ভ্রূর মাঝে অল্প ভাঁজ ফেলে ভাবে ভুল দেখল সে!,48,10,exclamation,literary,89.0,12k.txt
00162,পুলিশের কাছে কী প্রমাণ আছে যে ওটা বন্দনাই ছিল!,46,9,exclamation,literary,89.0,12k.txt
00163,আনন্দটা একটু বেশিই মনে হচ্ছে!,29,5,exclamation,literary,89.0,12k.txt
00164,কিন্তু প্রশ্নটা হল অন্য জায়গায়!,33,5,exclamation,literary,89.0,12k.txt
00165,কালভৈরবের শক্তি নিয়ে চণ্ডাল জাগবে!,35,5,exclamation,literary,89.0,12k.txt
00166,সূর্য জানতে চাইল ঋষভের আগে কে ম্যানেজার ছিল?,44,8,question,literary,88.0,12k.txt
00167,কাদের সঙ্গে আর কথা বলব মৃন্ময়ী?,32,6,question,literary,88.0,12k.txt
00168,আমার সঙ্গে কথা বলার মতো কেই-বা আছে এখানে?,41,8,question,literary,88.0,12k.txt
00169,প্রথমে মনে করতে পারল না এই বৃষভানুটি কে?,40,8,question,literary,88.0,12k.txt
00170,আর গেলই যখন এত ডাকাডাকিতেও সাড়া দিচ্ছে না কেন?,47,9,question,literary,88.0,12k.txt
00171,থানা-ভরতি এতগুলো লোক কি ঘুমোচ্ছিলে?,35,5,question,literary,88.0,12k.txt
00172,ওই ডিরেক্টর আত্রেয়ীকে খুন করতে গেছিল?,38,6,question,literary,88.0,12k.txt
00173,প্রহরীও দু-বার কৌন হ্যায় রে?,29,5,question,literary,88.0,12k.txt
00174,শালা আত্রেয়ীর বাড়ির একটা লোকও নেই?,36,6,question,literary,88.0,12k.txt
00175,নইলে বাপ হয়ে মেয়েকে এই অবস্থায় দেখতে হয়?,44,8,question,literary,88.0,12k.txt
00176,আমি কেন অজ্ঞান হয়ে পড়েছিলাম বলতে পারো?,40,7,question,literary,88.0,12k.txt
00177,আত্রেয়ী সেনের বাড়ির ওই লোকটা দেখেনি?,38,6,question,literary,88.0,12k.txt
00178,এই দুরন্ত বাচ্চা নিয়ে তুমি একা বাড়ি ফিরবে?,44,8,question,literary,88.0,12k.txt
00179,কিন্তু ফ্রুট জুস খেয়ে ভুল দেখছে সে?,36,7,question,literary,88.0,12k.txt
00180,অথচ সেটা এমন প্রবলভাবে নিজে থেকে দুলছে কী করে?,46,9,question,literary,88.0,12k.txt
00181,একের পর এক অসম্ভব ঘটনা কী করে সম্ভব হচ্ছে?,42,9,question,literary,88.0,12k.txt
00182,তাহলে কে এই সাজানো সংসার ছত্রখান করে দিল?,41,8,question,literary,88.0,12k.txt
00183,যাকে খালি চোখে দেখতে পাচ্ছে না মৃন্ময়ী?,40,7,question,literary,88.0,12k.txt
00184,আচ্ছা ওঁদের বাড়ির লোকদের কী খবর দেওয়া হয়েছে?,47,8,question,literary,88.0,12k.txt
00185,মুনাই ইশারায় আবার জিজ্ঞেস করল কে ফোন করেছে?,44,8,question,literary,88.0,12k.txt
00186,যাচ্ছিল সেদিন ওর মধ্যে বিশেষ কিছু খেয়াল করেছিলে?,49,8,question,literary,88.0,12k.txt
00187,তোমার ম্যাডাম কী সবসময় বন্দনাকে নিয়েই ঘুরত?,45,7,question,literary,88.0,12k.txt
00188,কিন্তু চোখে কী আদৌ ঘুম আসবে তার?,32,7,question,literary,88.0,12k.txt
00189,মাত্র কয়েক মিনিটের মধ্যে এমন সর্বনাশ কে ঘটাল?,46,8,question,literary,88.0,12k.txt
00190,আমার আইল্যাশটা খুলে যাচ্ছে দেখতে পাচ্ছ না?,42,7,question,literary,88.0,12k.txt
00191,এত সাতপাঁচ কী ভাবছেন বন্দনা ম্যাডাম?,36,6,question,literary,88.0,12k.txt
00192,তাহলে কেন পুলিশকে ফোন করতে বাধা দিচ্ছে?,39,7,question,literary,88.0,12k.txt
00193,কিন্তু এই মাঝরাতে যাবেটা কোথায়?,32,5,question,literary,88.0,12k.txt
00194,ও কী বুঝবে সিনেমাটোগ্রাফির ব্যাপারে?,36,5,question,literary,88.0,12k.txt
00195,একটা জলজ্যান্ত লোক উবে গেল তাকে নিয়ে কেস হল না?,48,10,question,literary,88.0,12k.txt
00196,থেকে এত ভয় কেন উপচে পড়ছে বন্দনার?,35,7,question,literary,88.0,12k.txt
00197,এগুলো নিশ্চই তন্ময় আপনাকে শিখিয়ে দিয়েছিল?,44,6,question,literary,88.0,12k.txt
00198,কিন্তু আমি জানতে চাইছিলাম ঠিক কী করবেন আপনি?,44,8,question,literary,88.0,12k.txt
00199,অবনীশ জিজ্ঞেস করে কে থাকত ওই ঘরে?,33,7,question,literary,88.0,12k.txt
00200,ঘটেনি তখন হঠাৎ কেনই-বা পুলিশের উপদ্রব হবে?,42,7,question,literary,88.0,12k.txt
00201,তোমার কোথাও ভুল হচ্ছে না তো বউদি?,33,7,question,literary,88.0,12k.txt
00202,আপ জরুর উনকা মামাজি কা রিশতেদার হ্যায় না?,42,8,question,literary,88.0,12k.txt
00203,ঘুমের ইঞ্জেকশন দিতে হয়েছে?,27,4,question,literary,88.0,12k.txt
00204,তোমরা আত্রেয়ীর বাড়ি পুরো খুঁজেছ?,34,5,question,literary,88.0,12k.txt
00205,মানে এই ওয়ালেটটা শান্তনু নিয়োগীর?,35,5,question,literary,88.0,12k.txt
00206,শান্তনুকে যে খুন করা হয়েছে সেটা বুঝলে না?,42,8,question,literary,88.0,12k.txt
00207,কিন্তু সেখান থেকেই-বা লাশ কোথায় গেল?,37,6,question,literary,88.0,12k.txt
00208,কতগুলোর জট ছাড়াব একসঙ্গে?,26,4,question,literary,88.0,12k.txt
00209,এরকমভাবে সময় বুঝে সিসিটিভি কীভাবে বন্ধ হবে স্যার?,50,8,question,literary,88.0,12k.txt
00210,এই লোকটিও কী আত্রেয়ী সেনের ফ্যান?,34,6,question,literary,88.0,12k.txt
00211,এই কেসটা কীভাবে জটিল হয়ে যাচ্ছে একবার ভেবেছ?,45,8,question,literary,88.0,12k.txt
00212,এখন আত্রেয়ীর অতীত কীভাবে কোথা থেকে জানব?,41,7,question,literary,88.0,12k.txt
00213,একজন অসুস্থ মানুষকে আপনারা থানায় নিয়ে যাবেন?,46,7,question,literary,88.0,12k.txt
00214,মিহিরদা এবার লো অ্যাঙ্গেল শট তো?,32,6,question,literary,88.0,12k.txt
00215,সারা পৃথিবীতে আমি একাই বন্দনা দত্ত নাকি?,40,7,question,literary,88.0,12k.txt
00216,কিন্তু তুমি এতো ডিটেইলস জানলে কী করে?,37,7,question,literary,88.0,12k.txt
00217,আর সেই আমি কিনা ভিক্ষে চাইব ওই মহিলার কাছে?,43,9,question,literary,88.0,12k.txt
00218,আচ্ছা ফোনে তন্ময়কে ঠিক কী বলেছিলেন আপনি?,41,7,question,literary,88.0,12k.txt
00219,ও তোমার অসুবিধে হচ্ছে নাকি?,27,5,question,literary,88.0,12k.txt
00220,তাহলে কি আত্রেয়ীকে পুরোপুরি মারতে চায়নি?,42,6,question,literary,88.0,12k.txt
00221,শান্তনুর বডিটা কোথায় গেল?,26,4,question,literary,88.0,12k.txt
00222,যখন দ্রুতগামী কোনো যানই কলকাতা পৌঁছোতে পারে না?,47,8,question,literary,88.0,12k.txt
00223,"এটি প্রথমবার ঘটেছে, নাকি আগেও হয়েছে?",37,6,question,call_center,88.0,bengali_sentences_6000_metadata.jsonl
00224,সন্ধ্যায় কি বিশ্রাম নেওয়া হবে?,32,5,question,conversational,88.0,generated_template
00225,"শুনুন, সন্ধ্যা সম্পর্কে বলি।",28,4,statement,conversational,87.5,generated_template
00226,বিবস্ত্র শরীরটা দুলে দুলে উঠল।,30,5,statement,literary,87.5,12k.txt
00227,আনন্দে প্রায় নেচে উঠল আত্রেয়ী।,32,5,statement,literary,87.5,12k.txt
00228,স্তোত্রও প্রায় শেষের মুখে।,27,4,statement,literary,87.5,12k.txt
00229,শেষ মুহূর্ত পর্যন্ত জানতে পারেনি।,33,5,statement,literary,87.5,12k.txt
